Date,Name,Year,Letterboxd URI,Rating
2025-03-02,The Queen's Gambit,2020,https://boxd.it/s1Ym,4
2025-03-02,The Hundred-Foot Journey,2014,https://boxd.it/6JBi,3.5
2025-03-02,Elysium,2013,https://boxd.it/2cBm,3
2025-03-02,Snowpiercer,2013,https://boxd.it/3Icg,3
2025-03-02,Samurai Champloo,2004,https://boxd.it/o8go,4.5
2025-03-02,Aparajito,1956,https://boxd.it/29kW,5
2025-03-02,Apur Sansar,1959,https://boxd.it/29l6,5
2025-03-02,All About Lily Chou-Chou,2001,https://boxd.it/1JP0,5
2025-03-02,Dostojee,2022,https://boxd.it/wUmU,5
2025-03-02,Violet Evergarden,2018,https://boxd.it/px3Q,4
2025-03-02,Prison 77,2022,https://boxd.it/yq4U,4
2025-03-03,The Dark Knight,2008,https://boxd.it/2b0k,3.5
2025-03-03,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2025-03-04,SoulMate,2016,https://boxd.it/eJXY,3.5
2025-03-04,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa,3
2025-03-05,Mulholland Drive,2001,https://boxd.it/297o,3.5
2025-03-05,Interstellar,2014,https://boxd.it/4VZ8,4.5
2025-03-05,Rushmore,1998,https://boxd.it/1TAO,4
2025-03-09,The Tatami Galaxy,2010,https://boxd.it/oL50,4.5
2025-03-09,Three of Us,2022,https://boxd.it/DQmq,4.5
2025-03-10,Babylon,2022,https://boxd.it/mM02,1
2025-03-10,Babe,1995,https://boxd.it/1Yh8,4.5
2025-03-10,3-Iron,2004,https://boxd.it/28WK,4.5
2025-03-10,Pulp Fiction,1994,https://boxd.it/29Pq,4
2025-03-12,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3
2025-03-12,Jumanji,1995,https://boxd.it/1ZLI,4
2025-03-14,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/2TG0,4
2025-03-31,Look Back,2024,https://boxd.it/LjA6,4
2025-04-19,Scam 1992: The Harshad Mehta Story,2020,https://boxd.it/shWQ,4.5
2025-04-24,Moonlight,2016,https://boxd.it/d6bE,4
2025-05-14,Love Letter,1995,https://boxd.it/LMA,4
2025-05-18,Mirza Ghalib,1988,https://boxd.it/Yx40,4.5
2025-05-20,Ijaazat,1987,https://boxd.it/3VqK,4
2025-05-21,The Big City,1963,https://boxd.it/fI2,5
2025-05-23,Superboys of Malegaon,2024,https://boxd.it/KyOU,4
2025-05-29,Minari,2020,https://boxd.it/mL9M,4
2025-05-29,Forrest Gump,1994,https://boxd.it/728,3.5
2025-05-29,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2025-05-31,Like Stars on Earth,2007,https://boxd.it/20SA,4
2025-05-31,Killa,2014,https://boxd.it/8OjW,4.5
2025-06-01,Lights Out,2016,https://boxd.it/bAHc,1
2025-06-01,The Invitation,2015,https://boxd.it/9OUU,1
2025-06-01,Zathura: A Space Adventure,2005,https://boxd.it/21mq,3
2025-06-01,The Book of Life,2014,https://boxd.it/6JKY,3
2025-06-01,Zootopia,2016,https://boxd.it/84xS,4
2025-06-01,The Croods,2013,https://boxd.it/FRE,3
2025-06-01,Bird Box,2018,https://boxd.it/eh1i,2
2025-06-01,Return to Seoul,2022,https://boxd.it/zXDg,1
2025-06-01,Top Gun,1986,https://boxd.it/29JC,2
2025-06-01,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,1
2025-06-01,West Side Story,1961,https://boxd.it/28dK,2
2025-06-01,A Monster Calls,2016,https://boxd.it/7DjE,3
2025-06-01,Doraemon: Nobita's Three Visionary Swordsmen,1994,https://boxd.it/52H6,4
2025-06-07,Pulse,2001,https://boxd.it/1s3y,1
2025-06-07,Bridge of Spies,2015,https://boxd.it/9n9C,4
2025-06-07,The Italian Job,2003,https://boxd.it/1Y86,3.5
2025-06-09,Pyaasa,1957,https://boxd.it/10iq,4
2025-06-09,Chernobyl,2019,https://boxd.it/mkbG,4.5
2025-06-10,The Taste of Tea,2004,https://boxd.it/1Mse,5
2025-06-10,Monkey Man,2024,https://boxd.it/kvsO,3.5
2025-06-18,Se7en,1995,https://boxd.it/29zs,4
2025-06-18,La Chimera,2023,https://boxd.it/vzVi,4.5
2025-06-18,Like Crazy,2011,https://boxd.it/g4s,3.5
2025-06-18,In Time,2011,https://boxd.it/FPS,3.5
2025-06-18,A Gentle Breeze in the Village,2007,https://boxd.it/2Vdk,3
2025-06-19,Lion,2016,https://boxd.it/b2La,4
2025-06-20,Materialists,2025,https://boxd.it/GZlW,3
2025-06-20,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2025-06-20,Raincoat,2004,https://boxd.it/ZPe,1
2025-06-20,Begin Again,2013,https://boxd.it/5Ybs,3
2025-06-22,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,3.5
2025-06-23,Gladiator,2000,https://boxd.it/2b9m,4.5
2025-06-24,Memento,2000,https://boxd.it/2bcK,4
2025-06-24,Tenet,2020,https://boxd.it/leq4,2
2025-06-29,Donnie Darko,2001,https://boxd.it/2b2A,3.5
2025-07-02,Steins;Gate,2011,https://boxd.it/psNE,4
2025-07-03,Lakshya,2004,https://boxd.it/1Ckk,3
2025-07-03,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
2025-07-04,The Breakfast Club,1985,https://boxd.it/27q4,2
2025-07-04,Masoom,1983,https://boxd.it/1BRi,4
2025-07-04,A Summer's Tale,1996,https://boxd.it/183e,3.5
2025-07-04,The Beautiful Person,2008,https://boxd.it/152W,2
2025-07-04,The Pursuit of Happyness,2006,https://boxd.it/28PE,4.5
2025-07-04,"Synecdoche, New York",2008,https://boxd.it/23zw,3
2025-07-04,The Truman Show,1998,https://boxd.it/18U8,4.5
2025-07-06,Rang De Basanti,2006,https://boxd.it/20KG,4.5
2025-07-06,Gandhi,1982,https://boxd.it/29Dk,4
2025-07-06,The Lunchbox,2013,https://boxd.it/5MOs,5
2025-07-06,Lost Ladies,2023,https://boxd.it/I0mS,4
2025-07-06,The Apartment,1960,https://boxd.it/2aGE,4
2025-07-06,Hereditary,2018,https://boxd.it/hNVe,1
2025-07-08,The Exorcist,1973,https://boxd.it/1Yoo,1
2025-07-09,Masaan,2015,https://boxd.it/b6x2,4.5
2025-07-09,Blade Runner 2049,2017,https://boxd.it/b8wK,3.5
2025-07-09,Weak Hero,2022,https://boxd.it/DLVq,2
2025-07-09,Wake Up Sid,2009,https://boxd.it/1C8e,3.5
2025-07-10,Taxi Driver,1976,https://boxd.it/2b8y,4
2025-07-10,Premium Rush,2012,https://boxd.it/FQw,4
2025-07-11,Udaan,2010,https://boxd.it/PPe,4
2025-07-11,Aligarh,2015,https://boxd.it/cRto,4.5
2025-07-11,Monsoon Wedding,2001,https://boxd.it/2aiM,4
2025-07-11,Swades,2004,https://boxd.it/1Ly6,3.5
2025-07-11,3 Idiots,2009,https://boxd.it/1Dsa,4
2025-07-13,Another Round,2020,https://boxd.it/lkba,4.5
2025-07-21,The Brutalist,2024,https://boxd.it/k4BO,3.5
2025-07-26,Million Dollar Arm,2014,https://boxd.it/5Y34,3.5
2025-07-26,Real Steel,2011,https://boxd.it/147m,4
2025-07-26,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,4
2025-07-26,Fair Play,2023,https://boxd.it/yirc,2
2025-07-26,Ran,1985,https://boxd.it/1Tlu,3
2025-07-29,Oldboy,2003,https://boxd.it/29R2,4
2025-07-30,Khosla Ka Ghosla!,2006,https://boxd.it/1Mie,4.5
2025-07-30,One Crazy Summer: A Look Back at Gravity Falls,2018,https://boxd.it/jk4Y,4.5
2025-08-06,The Great Dictator,1940,https://boxd.it/29ic,4.5
2025-08-11,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2025-08-15,The Garden of Words,2013,https://boxd.it/5Ymq,2
2025-08-18,Ishqiya,2010,https://boxd.it/1fgu,3.5
2025-08-18,Rock On!!,2008,https://boxd.it/1EHK,3.5
2025-08-19,"Comrades, Almost a Love Story",1996,https://boxd.it/18QU,4
2025-08-19,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4
